"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"DIGI-KEY_PURCHASE_URL";"MANUFACTURER_PART_NUMBER";"MF";"MP";"PACKAGE";"PRICE";"PROD_ID";"SF_ID";"SPICEPREFIX";"VALUE";"VENDOR";
"3.3V_PWR";"green";"LED1206";"LED-1206";"LEDs";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"5V_PWR";"green";"LED1206";"LED-1206";"LEDs";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6V_PWR";"green";"LED1206";"LED-1206";"LEDs";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"B1";"";"TAC_SWITCHSMD";"TACTILE-SWITCH-SMD";"Momentary Switch";"";"";"";"";"";"";"";"";"";"SWCH-08247";"";"";"TAC_SWITCHSMD";"";
"B2";"";"TAC_SWITCHSMD";"TACTILE-SWITCH-SMD";"Momentary Switch";"";"";"";"";"";"";"";"";"";"SWCH-08247";"";"";"TAC_SWITCHSMD";"";
"B3";"";"TAC_SWITCHSMD";"TACTILE-SWITCH-SMD";"Momentary Switch";"";"";"";"";"";"";"";"";"";"SWCH-08247";"";"";"TAC_SWITCHSMD";"";
"C1";"10nF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C2";"4.7uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C4";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C7";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C8";"1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C17";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C18";"4.7uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C21";"4.7uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C22";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C23";"4.7uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"CR1";"STM32F103RET6";"STM32F103RET6";"LQFP-64";"";"";"";"";"";"STM32F103RET6";"";"";"";"";"";"";"";"";"STMicroelectronics";
"C_3.3V1";"10uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C_3.3V2";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C_3.3V5";"1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C_3.3V6";"10uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C_3.3V7";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C_5V1";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C_5V2";"47uF";"CAP1210";"1210";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
